Field Name,Occurences,Sample Value 1,Sample Value 2,Sample Value 3,Sample Value 4,Sample Value 5
Abstract,14,Announcement of Valour recipients.,Captain (N) Chris Henderson discusses the impact of embedded media on operations.,"Dr. Sean Maloney discusses what was International Security Assistance Forces created to do both ostensibly and actually, how it evolved, and it’s future.  ",Doctor Tim Mau and Alexander Wooley propose a new integrative model for assessing military leadership.,"Lieutenant-General Ken Pennie explains the air force vision, examining some  of the key concepts and assumptions that underlie it, as well as the vectors  to achieve that vision."
Accept-Ranges,2306,bytes,,,,
Access-Control-Allow-Headers,156,"Access-Control-Allow-Headers, Origin, Accept, X-Requested-With, Content-Type, Access-Control-Request-Method, Access-Control-Request-Headers","Origin, X-Requested-With, Content-Type, Accept","Origin, Content-Type, X-Auth-Token, X-Requested-By, X-Requested-With",Content-Type,
Access-Control-Allow-Methods,156,"GET, POST, OPTIONS","GET, HEAD, OPTIONS, POST, PUT, DELETE","GET,PUT,POST,OPTIONS","GET, POST, PATCH, PUT, DELETE, OPTIONS",
Access-Control-Allow-Origin,2593,*.gc.ca,https://intra.nrc-cnrc.gc.ca,*,https://otc-cta.gc.ca,https://www.youtube.com
Access-Control-Allow-Origins,101,*,,,,
Access-Control-Expose-Headers,38,Request-Context,,,,
Age,285,0,32036,39157,30666,
Akamai-Age-Ms,10,1587720029306,1587725921528,1587717725403,1587725209787,1587725939016
Arr-Disable-Session-Affinity,85,true,,,,
Assessment Start Date,3,14/03/2018 12:00:00 AM,28/06/2019 12:00:00 AM,21/02/2020 12:00:00 AM,,
Assessment Type,3,Project on federal lands,Environmental assessment under CEAA 2012,,,
Author,16,David Bashow,Dr. Sean Maloney,Lieutenant-General Ken Pennie,Doctor Tim Mau and Alexander Wooley,Andrew J. Duncan
CF-Cache-Status,1,DYNAMIC,,,,
CF-RAY,1,588f76d21a77f232-ORD,,,,
Cache-Control,3040,"public, no-store, max-age=0",private,"max-age=0, no-cache, no-store","max-age=300, public",no-cache
Cache-control,179,no-cache,,,,
ChairTitle,1,Canada Research Chair in RNA & Protein Biophysics,,,,
Chroma BackgroundColor,1,"red=255, green=255, blue=255",,,,
Chroma BlackIsZero,6,true,,,,
Chroma ColorSpaceType,6,RGB,,,,
Chroma NumChannels,6,4,,,,
Compression CompressionTypeName,6,deflate,,,,
Compression Lossless,6,true,,,,
Compression NumProgressiveScans,6,1,,,,
Connection,3471,Keep-Alive,keep-alive,"Upgrade, Keep-Alive",close,
Content-Encoding,6101,ISO-8859-1,UTF-8,windows-1252,US-ASCII,
Content-Language,792,en-CA,en-US,en,,
Content-Length,6101,138050,32235,46445,26574,122939
Content-Location,6101,https://www.canada.ca/en/employment-social-development/news/2020/04/canada-emergency-response-benefit-to-launch-on-april-6.html,https://www.canada.ca/en/department-finance/economic-response-plan.html,https://www.canada.ca/en/services/benefits/ei/cerb-application.html,https://www.canada.ca/en/employment-social-development/corporate/notices/coronavirus.html,https://www.canada.ca/en/revenue-agency/services/benefits/apply-for-cerb-with-cra.html
Content-Script-Type,58,text/javascript,,,,
Content-Security-Policy,402,frame-ancestors 'self',frame-ancestors 'self';,default-src 'self' 'unsafe-inline' *.open.canada.ca *.canada.ca *.gc.ca www.youtube.com youtube.com platform.twitter.com syndication.twitter.com *.demdex.net *.omtrdc.net epsg.io *.google-analytics.com *.googletagmanager.com *.gov.bc.ca governmentofbc.maps.arcgis.com *.maps.alberta.ca geodiscover.alberta.ca;         script-src 'self' 'unsafe-inline' 'unsafe-eval' *.open.canada.ca *.canada.ca webservices.maps.canada.ca *.google-analytics.com ajax.googleapis.com js.arcgis.com *.gc.ca *.geosciences.ca *.epsg.i,img-src 'self' *.canada.ca data: 'unsafe-inline' ; script-src 'self' *.canada.ca 'unsafe-inline' 'unsafe-eval' ; frame-src 'self' http://www.canada.ca; font-src 'self' *.canada.ca https://cdnjs.cloudflare.com data: ; media-src 'none' ; connect-src 'self' *.canada.ca *.hc-sc.gc.ca ; form-action 'self' *.canada.ca *.hc-sc.gc.ca ; style-src 'self' *.canada.ca https://cdnjs.cloudflare.com 'unsafe-inline' ; default-src 'self' www.canada.ca cdn.canada.ca ;,default-src 'self' 'unsafe-inline' *.open.canada.ca *.canada.ca *.gc.ca www.youtube.com youtube.com platform.twitter.com syndication.twitter.com *.demdex.net *.omtrdc.net epsg.io *.google-analytics.com *.googletagmanager.com *.gov.bc.ca governmentofbc.maps.arcgis.com *.maps.alberta.ca geodiscover.alberta.ca;          script-src 'self' 'unsafe-inline' 'unsafe-eval' *.open.canada.ca *.canada.ca webservices.maps.canada.ca *.google-analytics.com ajax.googleapis.com js.arcgis.com *.gc.ca *.geosciences.ca *.epsg.
Content-Style-Type,63,text/css,,,,
Content-Type,6101,text/html; charset=utf-8,text/html; charset=UTF-8,text/html,text/html;charset=utf-8,text/html;charset=UTF-8
Content-Type-Hint,560,text/html; charset=utf-8,text/html; charset=UTF-8,text/html; charset=us-ascii,text/html; charset=windows-1252,text/html; charset=iso-8859-1
Content-language,33,en,,,,
ContentServer,371,hpvs489,hpvs490,hpvs491,,
Controlled_Subject_Terms,21,,,,,
Cteonnt-Length,39,43410,53450,52554,38236,21711
Data BitsPerSample,6,8 8 8 8,,,,
Data PlanarConfiguration,6,PixelInterleaved,,,,
Data SampleFormat,6,UnsignedIntegral,,,,
Date,6101,"Fri, 24 Apr 2020 10:58:37 GMT","Fri, 24 Apr 2020 10:58:42 GMT","Fri, 24 Apr 2020 10:58:43 GMT","Fri, 24 Apr 2020 10:58:41 GMT","Fri, 24 Apr 2020 10:58:40 GMT"
Date_created,21,2001-04-01,2000-08-24,2001-10-04,,
Date_modified,31,2001-09-01,2002-10-02,2002-10-24,2004-05-06</HEAD><BODY BGCOLOR=,2003-04-25</HEAD><BODY BGCOLOR=
Description,61,"A review of new federal stimulus measures that will take effect in 2010-2011 under Canada's Economic Action Plan, as well as new actions proposed in the Budget to build jobs and growth for the future.","The Budget of Canada outlines the fiscal, social and economic policies and priorities of the Government of Canada, and reflects Government spending obligations and revenue projections for the coming fiscal year.",ARCHIVED - Bell Canada - Revenue requirements for 1993 and 1994,ARCHIVED - Call for comments concerning order in coucil P.C. 1994-1689,ARCHIVED - Introduction to decisions renewing the licences of privately-owned English-language television stations
Dimension HorizontalPixelSize,1,0.35273367,,,,
Dimension ImageOrientation,6,Normal,,,,
Dimension PixelAspectRatio,6,1.0,,,,
Dimension VerticalPixelSize,1,0.35273367,,,,
Document Date,45,11/01/2018 12:00:00 AM,29/06/2016 12:00:00 AM,12/12/2016 12:00:00 AM,17/12/2019 12:00:00 AM,27/06/2017 12:00:00 AM
Document ImageModificationTime,1,"year=2017, month=4, day=21, hour=19, minute=25, second=13",,,,
Document Type,45,News Releases,Additional Information,For Public Participation,,
DocumentStatus,2,Archived,,,,
ETag,1708,"W/""a2d7-5a4073f8d7d32-gzip""","""205b2-5a406fa0d6912-gzip""","W/""816a-5a4073fc2e8d7-gzip""","""24138-5a406f2d51d12-gzip""","""d6ed-5a4021bcc5274-gzip"""
Etag,196,"""1587691087-0""","""1587691004-1""","""1587691095-0""","""1587680417-0""","""1587691089-0"""
Expect-CT,1,"max-age=604800, report-uri=""https://report-uri.cloudflare.com/cdn-cgi/beacon/expect-ct""",,,,
Expires,1017,"Fri, 24 Apr 2020 10:59:39 GMT","Fri, 24 Apr 2020 11:05:55 GMT","Mon, 26 Jul 1997 05:00:00 GMT","Sun, 19 Nov 1978 05:00:00 GMT","Fri, 24 Apr 2020 11:03:48 GMT"
Feature-Policy,7,geolocation none;midi none;notifications none;push none;sync-xhr none;microphone none;camera none;magnetometer none;gyroscope none;speaker self;vibrate none;fullscreen self;payment none;,microphone 'none'; payment 'none'; sync-xhr 'self' https://rdc-drc.ca,,,
GENERATOR,15,Microsoft FrontPage 4.0,Microsoft SharePoint,,,
Generator,70,Drupal 8 (https://www.drupal.org),DSpace 4.2,Drupal 7 (http://drupal.org),,
HandheldFriendly,57,true,,,,
IHDR,6,"width=266, height=339, bitDepth=8, colorType=RGBAlpha, compressionMethod=deflate, filterMethod=adaptive, interlaceMethod=none","width=16, height=16, bitDepth=8, colorType=RGBAlpha, compressionMethod=deflate, filterMethod=adaptive, interlaceMethod=none",,,
ISO639-2,2,eng,,,,
Keep-Alive,1054,"timeout=15, max=100","timeout=5, max=100","timeout=5, max=99","timeout=5, max=97","timeout=15, max=99"
Keywords,68,"Canada Excellence Research Chair, CERC, program, researchers, universities, Canadian, experts, nominations, research funding, research grants","tax relief, job creation, training, Employment Insurance, EI, infrastructure, social housing, post-secondary education, research, innovation, technology, environment, financial sector, tax reduction, income tax, First Nations, north, seniors, credit, financial markets, student loans, labour market, trade, debt, youth, regional development, green energy, clean energy, research grants, border security, crime, single parents, UCCB, athletes, amateur sport, persons with disabilities, charities, residential scho",Telecommunications,"government finances, social spending, financial policy, budget speech, revenue, estimates, forecasts","Access to Information Act, "
Last-Modified,2052,"Fri, 24 Apr 2020 10:58:45 GMT","Fri, 24 Apr 2020 04:50:46 GMT","Fri, 24 Apr 2020 10:37:14 GMT","Fri, 24 Apr 2020 10:39:15 GMT","Fri, 24 Apr 2020 10:58:41 GMT"
Link,84,"<https://nrc.canada.ca/en/corporate/values-ethics/research-involving-human-participants/guidance-completing-applications-forms>; rel=""canonical""","</en/annual-report-2014-2015>; rel=""canonical"",</en/node/1739>; rel=""shortlink""","<https://ml-fd.caf-fac.ca/en/wp-json/>; rel=""https://api.w.org/""","<https://nrc.canada.ca/en/corporate/planning-reporting/departmental-performance-report-2015-16>; rel=""canonical""","<https://mpmo.gc.ca/measures/292>; rel=""canonical"",<https://mpmo.gc.ca/node/292>; rel=""shortlink"""
LiveOnProduction,58,True,,,,
Location,3,"25 Huron Street, Victoria BC, V8V 4V9",325 kilometres northeast of St. John's,Interlake Region,,
MS-Author-Via,9,DAV,,,,
MicrosoftSharePointTeamServices,56,16.0.0.4681,14.0.0.7230,16.0.0.4900,16.0.0.4927,
MobileOptimized,57,width,,,,
Modified Date,3,2020-02-21,2020-04-03,2020-04-21,,
NumPages,58,13,14,8,9,10
P3P,1,"CP=""ALL COR ADMa OURa IND UNI NAV INT""",,,,
Page-Session-Info,55,"c-date: 2020-04-22 21:11:58, e-date: 2020-05-06 21:11:58, age:1209600","c-date: 2020-04-24 07:05:39, e-date: 2020-05-08 07:05:39, age:1209600","c-date: 2020-04-23 09:41:47, e-date: 2020-05-07 09:41:47, age:1209600","c-date: 2020-04-22 22:31:27, e-date: 2020-05-06 22:31:27, age:1209600","c-date: 2020-04-23 15:47:58, e-date: 2020-05-07 15:47:58, age:1209600"
Pragma,209,no-cache,No-cache,,,
ProgId,10,FrontPage.Editor.Document,,,,
Project ID,48,80067,80117,80127,80103,80094
Project Name,48,Howse Property Iron Mine Project,Marine Terminal Project on the North Shore of the Saguenay,Project 4 - All-Season Road Connecting Berens River to Poplar River First Nation,Pacific Future Energy Refinery Project,CNOOC International Flemish Pass Exploration Drilling Project
Project Type,3,Bridges,Building and Property Development,"Other, not otherwise specified",Oil and Gas,Water Management
Proponent,3,Manitoba Infrastructure,BHP Petroleum (New Ventures) Corporation,Fisheries and Oceans Canada,,
Province,3,Manitoba,British Columbia,Newfoundland and Labrador,,
Public-Extension,4,http://schemas.microsoft.com/repl-2,,,,
Public-Key-Pins,72,"pin-sha256=""K5cLRLJx5XMmt3FZ4juyw6w77/ZS+AP52Q/mK+UO3P0=""; pin-sha256=""CzdPous1hY3sIkO55pUH7vklXyIHVZAl/UnprSQvpEI=""; pin-sha256=""ntPCN1f+CZzlQhaIE331czBRcAjdmi504yTaH4mK2Gw=""; max-age=2592000; report-uri=""https://domain.com/report""",,,,
ROBOTS,58,"INDEX,FOLLOW,NOARCHIVE",,,,
RVBD-CSH,2,::ffff:10.16.251.6,,,,
RVBD-SSH,2,::ffff:142.130.17.62,,,,
Referrer-Policy,319,no-referrer,same-origin,no-referrer-when-downgrade,,
Refresh,7,600;url=../auth/logout?url=/?theme%3Daadnc&theme=aadnc,600;url=../auth/logout?url=/?theme%3Dmobile&theme=mobile,,,
Request-Context,38,appId=cid-v1:ca663ce7-b7c3-48bc-8b73-c4a808479811,appId=cid-v1:124bc074-4d6e-461a-b96c-f162221348ef,,,
Research_Involves,1,Studying how host proteins and viral RNAs interact.,,,,
Researcher,1,Trushar R Patel,,,,
ResourceTag,4,rt:8FE0476A-68E8-49A7-9302-7CAEF35277CC@00000001547,rt:30F18CAA-410B-4554-BC44-DAAD67415939@00000016662,rt:5E5D79E9-427D-4A7E-87DB-CD8E42A7EDE3@00000001693,rt:27D698F0-90C7-45AD-A3C7-B91D465B1797@00000002004,
Responsible Authority,3,Impact Assessment Agency of Canada,Fisheries and Oceans Canada,,,
Review_date,29,2003-09-01,20021231,2005-06-22,2007-06-22,20030716
SPIisLatency,51,0,11,1,,
SPRequestDuration,51,145,113,1079,1387,183
SPRequestGuid,56,d2e04b9f-302c-80c3-fcbc-a271ccb8ccc0,f8e04b9f-00c8-80c3-fcbc-a90f81fd2783,1ce14b9f-ce99-f0da-ff96-e48975b77090,dee04b9f-f0bc-80c3-fcbc-a1cc9eed7fda,d9e04b9f-12f6-c0de-c82e-c9519a3d6c13
Server,5928,Microsoft-IIS/7.5,Apache,Apache/2.4.6 (Red Hat Enterprise Linux) Communique/4.2.1,Microsoft-IIS/10.0,Microsoft-IIS/8.5
Service,58,dpr-rmr/2008-2009,archives,dpr-rmr/2007-2008,est-pre,dpr-rmr/2006-2007
Set-Cookie,473,ASP.NET_SessionId=o21p102ln2ng20vpzdrt5drv; path=/; secure; HttpOnly; SameSite=Lax,JSESSIONID=F491B1D1A849D3C1B63C8495443D2E4E; Path=/,"CFID=2986781; Expires=Sun, 17-Apr-2050 10:59:19 GMT; Path=/; HttpOnly",ASPSESSIONIDSWADTART=EEEKHGFBIDFEFEIEOPCEFODM; secure; path=/,ASPSESSIONIDSWBSQACR=ABICHDOAAJPIECKKNHEHHNHP; secure; path=/
Status,178,In progress,200 OK,,,
Strict-Transport-Security,4339,max-age=31536000,max-age=0; includeSubDomains,max-age=15768000,max-age=31536000; includeSubDomains; preload,max-age=31536000; preload
Text TextEntry,1,"keyword=Comment, value=Created with GIMP, language=, compression=none",,,,
Title,21,Bill C-53: An Act to protect human health and safety and the environment by regulating products used for the control of pests (LS-423E),Bill C-33: The Species at Risk Act (LS-369E),Contact Us,Bill C-58: An Act to Amend the Railway Safety Act and To Make a Consequential Amendment to Another Act (LS-326E),"Bill C-6: An Act to provide for an integrated system of land and water management in the MacKenzie Valley, to establish certain boards for that purpose and to make consequential amendments to other Acts (LS302E)"
Transfer-Encoding,1507,chunked,,,,
Transparency Alpha,6,nonpremultipled,,,,
Upgrade,3,"h2,h2c",,,,
Vary,3113,Cookie,"Accept-Encoding,User-Agent","Cookie,Accept-Encoding",*,Accept-Encoding
Via,652,1.1 ito-oti.ic.gc.ca (Apache/2.4.27),1.1 varnish-v4,1.1 strategis.ic.gc.ca (Apache/2.4.27),1.1 varnish (Varnish/6.0),1.1 fednor.gc.ca (Apache/2.4.27)
WT.cg_n,47,tc.gc.ca; en-ca; ncrws450.tc.gc.ca D:\RedDot\WS\MS\ASP\ReddotTemp\,tc.gc.ca; en-ca; CA Publications,Our Office,tc.gc.ca; en-ca; Corporate Services,tc.gc.ca; en-ca; CA Standards
WT.cg_s,46,en-ca; ncrws450.tc.gc.ca D:\RedDot\WS\MS\ASP\ReddotTemp\; transport-canada-response-aviation-safety-recommendations-2002.html,en-ca; ncrws450.tc.gc.ca D:\RedDot\WS\MS\ASP\ReddotTemp\; transport-canada-response-aviation-safety-recommendations-2015.html,en-ca; ncrws450.tc.gc.ca D:\RedDot\WS\MS\ASP\ReddotTemp\; technical-implementation-procedures-united-kingdom.html,Media Room,en-ca; ncrws450.tc.gc.ca D:\RedDot\WS\MS\ASP\ReddotTemp\; enhancing-rail-safety-canada-working-together-safer-communities.html
WebConfigHost,8,www,,,,
X-Akamai-Transformed,329,"9 9877 0 pmb=mRUM,1","9 14312 0 pmb=mRUM,1","9 8573 0 pmb=mRUM,1","9 - 0 pmb=mRUM,1","9 8681 0 pmb=mRUM,1"
X-AspNet-Version,923,2.0.50727,4.0.30319,,,
X-AspNetMvc-Version,181,3.0,5.0,,,
X-Cache,6,HIT,MISS,,,
X-Cache-Hits,4,0,1,,,
X-Cacheable,1,YES,,,,
X-Content-Security-Policy,2,default-src 'self' 'unsafe-inline' data: ; script-src 'self' 'unsafe-inline' 'unsafe-eval'; style-src 'self' 'unsafe-inline' ;,,,,
X-Content-Type-Options,937,nosniff,,,,
X-DB-Content-length,6,81215,241342,220386,35110,367747
X-Drupal-Cache,259,HIT,MISS,,,
X-Drupal-Dynamic-Cache,57,HIT,MISS,UNCACHEABLE,,
X-FRAME-OPTIONS,52,SAMEORIGIN,,,,
X-FW-Hash,1,pep6orybxv,,,,
X-FW-Serve,1,TRUE,,,,
X-FW-Server,1,Flywheel/4.1.0,,,,
X-FW-Static,1,NO,,,,
X-FW-Type,1,FLYWHEEL_BOT,,,,
X-Fastly-Request-ID,1,34c35a88e93c55011e34becd09289566519d1ada,,,,
X-Frame-Options,1031,SAMEORIGIN,deny,DENY,"SAMEORIGIN, SAMEORIGIN",sameorigin
X-Generator,125,Drupal 7 (https://www.drupal.org),Drupal 8 (https://www.drupal.org),Drupal 7 (http://drupal.org),,
X-GitHub-Request-Id,1,0818:2258:1C60EA:23C908:5EA2D56C,,,,
X-Hits,1,1,,,,
X-MS-InvokeApp,56,1; RequireReadOnly,,,,
X-Original-Host,85,www.tbs-sct.gc.ca,,,,
X-Parsed-By,6101,org.apache.tika.parser.image.ImageParser,org.apache.tika.parser.html.HtmlParser,org.apache.tika.parser.DefaultParser,,
X-Permitted-Cross-Domain-Policies,1,none,,,,
X-Pool,18,1,2,3,4,
X-Powered-By,2921,Express,ARR/2.5,PHP/5.3.17,ASP.NET,ARR/3.0
X-Powered-By-Plesk,2,PleskWin,,,,
X-Proxy-Cache,56,HIT,MISS,,,
X-Request-Id,177,4f333939-3ff1-48dd-bc7a-f710272c45fd,f67f94cc-d125-4cbb-8864-d276a5fb6c96,f2d8411d-fe6f-4201-96e8-48e44d661a21,9e2c66bb-62b3-4b56-8628-2953ec415312,0e47f365-e5ba-44c8-bd85-1b418959bd21
X-Runtime,177,0.541590,0.166578,0.169203,1.184835,0.189030
X-Served-By,1,cache-yyz4537-YYZ,,,,
X-SharePointHealthScore,56,0,,,,
X-TEC-API-ORIGIN,1,http://sopf.gc.ca,,,,
X-TEC-API-ROOT,1,http://sopf.gc.ca/index.php?rest_route=/tribe/events/v1/,,,,
X-TEC-API-VERSION,1,v1,,,,
X-Timer,1,"S1587729774.273502,VS0,VE21",,,,
X-UA-Compatible,4232,"IE=edge,chrome=1",IE=11,IE=edge,IE=Edge,IE=EDGE
X-Varnish,280,67263645,68307712,701105702,67796511,694067394
X-Via-NSCOPI,86,1.0,,,,
X-XSS-Protection,458,1;mode=block,1; mode=block,,,
X-Xss-Protection,85,1; mode=block,,,,
X-ac,6,2.yyz _dca,1.yyz _dca,,,
X-hacker,6,"If you're reading this, you should visit automattic.com/jobs and apply to join the fun, mention this header.",,,,
aafc.subject,5,Abstracts of Research Publications,,,,
aafc:subject,50,vegetable crops;world trade organization negotiations;soil assessement,research;market analysis;agricultural industries,proactive disclosure;agricultural policy framework (apf);government publications,technology transfer;architectural heritage;soil assessement,poultry farming;architectural heritage;soil assessement
abstract,18,Creating Canada’s 4th Plan on Open Government 2018-20,"Driving digital government forward, together",Improving government services in the digital age,Why is CODE Important?,Using Artificial Intelligence in government means balancing innovation with the ethical and responsible use of emerging technologies
adcterms.creator,1,"Government of Canada, Department of Justice, Electronic Communications",,,,
adcterms.description,1,Department of Justice Canada's Internet site,,,,
adcterms.language,1,eng,,,,
adcterms.subject,1,"justice, law, judicial system, legal system, legislation, statute, act, regulation, legislative process, amendment, canadian government, sfi, initiative, support, supporting families, family law, policy, laws, legislation, publications, children, sibling, brother, sister, youth, teens, family, separation, divorce, divorce act, divorce law, best interests of the child, federal child support guidelines, child support guidelines, child support, family justice",,,,
adcterms.title,1,Department of Justice - Insert the English title,,,,
adctermsterms.issued,1,2002-03-29,,,,
adctermsterms.modified,1,2002-05-14,,,,
alert,864,true,,,,
